"","rawX","rawY","X","Y","floor"
"1",428,30,157.1428571,-50.76335878,0
"2",1074,32,400.37593985,-50.76335878,0
"3",1076,277,400.37593985,-144.6564885,0
"4",1164,277,433.45864665,-144.6564885,0
"5",1162,458,433.45864665,-214.8854962,0
"6",1078,464,400.37593985,-214.8854962,0
"7",1072,529,400.37593985,-239.3129771,0
"8",993,521,369.36090225,-239.3129771,0
"9",992,550,369.36090225,-248.8549618,0
"10",638,550,235.71428575,-248.8549618,0
"11",636,699,235.71428575,-306.1068702,0
"12",571,701,210.1503759,-306.1068702,0
"13",567,787,210.1503759,-339.6946565,0
"14",485,789,177.8195489,-339.6946565,0
"15",481,825,177.8195489,-354.5801527,0
"16",72,829,23.68421053,-354.5801527,0
"17",74,426,23.68421053,-201.90839695,0
"18",13,428,1.127819549,-201.90839695,0
"19",13,340,1.127819549,-169.0839695,0
"20",498,342,183.83458645,-169.0839695,0
"21",500,177,183.83458645,-106.4885496,0
"22",430,177,157.51879695,-106.4885496,0
"23",428,30,157.51879695,-50.38167939,0
"24",475,123,185.9848485,-72.55639098,1
"25",544,125,212.68939395,-72.55639098,1
"26",547,54,212.68939395,-45.86466165,1
"27",889,52,343.75,-45.86466165,1
"28",894,119,343.75,-71.80451128,1
"29",957,125,369.88636365,-71.80451128,1
"30",964,265,369.88636365,-125.93984965,1
"31",1038,267,400.9469697,-125.93984965,1
"32",1047,505,400.9469697,-214.4736842,1
"33",901,498,346.02272725,-214.4736842,1
"34",894,542,346.02272725,-230.63909775,1
"35",864,547,333.7121212,-230.63909775,1
"36",866,660,333.7121212,-275.93984965,1
"37",621,670,240.53030305,-275.93984965,1
"38",617,838,240.53030305,-340.9774436,1
"39",545,838,211.9318182,-340.9774436,1
"40",542,797,211.9318182,-325.93984965,1
"41",58,799,28.03030303,-325.93984965,1
"42",58,401,28.03030303,-176.31578945,1
"43",12,399,10.60606061,-176.31578945,1
"44",12,331,10.60606061,-149.62406015,1
"45",473,327,185.6060606,-149.62406015,1
"46",475,123,185.6060606,-72.18045113,1
"47",1,598,175.7869249,-175,2
"48",43,599,185.3510896,-175,2
"49",38,171,185.3510896,-71.618357485,2
"50",156,170,213.1961259,-71.618357485,2
"51",155,57,213.1961259,-43.961352655,2
"52",694,55,344.43099275,-43.961352655,2
"53",701,166,344.43099275,-71.014492755,2
"54",807,170,371.5496368,-71.014492755,2
"55",812,392,371.5496368,-125.1207729,2
"56",926,392,400.968523,-125.1207729,2
"57",936,493,400.968523,-149.7584541,2
"58",1026,495,424.21307505,-149.7584541,2
"59",1028,598,424.21307505,-175.4830918,2
"60",928,603,400.2421308,-175.4830918,2
"61",928,751,400.2421308,-211.5942029,2
"62",697,749,344.3099274,-211.5942029,2
"63",697,749,344.3099274,-220.77294685,2
"64",696,827,278.3292978,-220.77294685,2
"65",153,834,278.3292978,-217.39130435,2
"66",156,714,195.0363196,-217.39130435,2
"67",5,711,195.0363196,-202.173913,2
"68",1,598,175.7869249,-174.8792271,2
"69",1,587,174.4578313,-175.4237288,3
"70",48,588,186.02409635,-175.4237288,3
"71",50,160,186.02409635,-71.91283293,3
"72",160,160,212.7710843,-71.91283293,3
"73",160,48,212.7710843,-44.188861985,3
"74",700,43,343.373494,-44.188861985,3
"75",704,160,343.373494,-71.791767555,3
"76",819,159,371.5662651,-71.791767555,3
"77",819,489,371.5662651,-151.81598065,3
"78",987,491,412.40963855,-151.81598065,3
"79",990,578,412.40963855,-173.36561745,3
"80",931,580,398.79518075,-173.36561745,3
"81",933,738,398.79518075,-212.46973365,3
"82",709,743,344.57831325,-212.46973365,3
"83",705,817,344.57831325,-230.8716707,3
"84",164,816,213.25301205,-230.8716707,3
"85",160,702,213.25301205,-202.78450365,3
"86",1,699,174.4578313,-202.78450365,3
"87",1,587,174.4578313,-175.3026634,3
