"APname","APnum","location"
"615chapeldr-constr-trailer","58:8d:09:95:45:57",NA
"7205-kilgo-i-101cm-c","2c:5a:0f:ed:19:18","Kilgo"
"7205-kilgo-i-101-w","00:42:5a:b0:36:00","Kilgo"
"7205-kilgo-i-102-w","00:42:5a:b0:41:10","Kilgo"
"7205-kilgo-i-103-w","00:42:5a:b0:14:68","Kilgo"
"7205-kilgo-i-104-w","00:42:5a:b0:07:c0","Kilgo"
"7205-kilgo-i-105-w","00:42:5a:b0:3e:90","Kilgo"
"7205-kilgo-i-201-w","00:42:5a:b0:40:d8","Kilgo"
"7205-kilgo-i-202-w","00:42:5a:b0:39:70","Kilgo"
"7205-kilgo-i-203-w","00:42:5a:b0:3f:b8","Kilgo"
"7205-kilgo-i-204-w","00:42:5a:b0:58:20","Kilgo"
"7205-kilgo-i-205-w","00:42:5a:b0:15:f8","Kilgo"
"7205-kilgo-i-206-w","00:42:5a:b0:5e:18","Kilgo"
"7205-kilgo-i-207-w","00:42:5a:b0:5b:18","Kilgo"
"7205-kilgo-i-301-w","00:42:5a:b0:3e:b8","Kilgo"
"7205-kilgo-i-302-w","00:42:5a:b0:3f:60","Kilgo"
"7205-kilgo-i-303-w","00:42:5a:b0:40:10","Kilgo"
"7205-kilgo-i-304-w","00:42:5a:b0:3a:d8","Kilgo"
"7205-kilgo-i-306-w","00:42:5a:b0:2a:80","Kilgo"
"7205-kilgo-i-307-w","00:42:5a:b0:32:80","Kilgo"
"7205-kilgo-j-101-w","00:42:5a:b0:40:20","Kilgo"
"7205-kilgo-j-102-w","00:42:5a:b0:13:40","Kilgo"
"7205-kilgo-j-103-w","00:42:5a:b0:04:e8","Kilgo"
"7205-kilgo-j-104-w","00:42:5a:b0:15:b0","Kilgo"
"7205-kilgo-j-105-w","00:42:5a:b0:32:28","Kilgo"
"7205-kilgo-j-106-w","00:42:5a:b0:15:e0","Kilgo"
"7205-kilgo-j-109a-w","00:42:5a:b0:1b:e8","Kilgo"
"7205-kilgo-j-109b-w","00:42:5a:b0:18:58","Kilgo"
"7205-kilgo-j-109-cm","cc:16:7e:83:98:1c","Kilgo"
"7205-kilgo-j-202-w","00:42:5a:b0:40:b8","Kilgo"
"7205-kilgo-j-203-w","00:42:5a:b0:19:30","Kilgo"
"7205-kilgo-j-204-w","00:42:5a:b0:07:08","Kilgo"
"7205-kilgo-j-205-w","00:42:5a:b0:11:b8","Kilgo"
"7205-kilgo-j-206-w","00:42:5a:b0:0a:c0","Kilgo"
"7205-kilgo-j-207-w","00:42:5a:b0:02:b8","Kilgo"
"7205-kilgo-j-208-w","00:42:5a:b0:3e:98","Kilgo"
"7205-kilgo-j-209-w","00:42:5a:b0:18:d0","Kilgo"
"7205-kilgo-j-210-w","00:42:5a:b0:1b:70","Kilgo"
"7205-kilgo-j-211-w","00:42:5a:b0:4a:98","Kilgo"
"7205-kilgo-j-213-w","00:42:5a:b0:05:90","Kilgo"
"7205-kilgo-j-214-w","00:42:5a:b0:15:a8","Kilgo"
"7205-kilgo-j-215-w","00:42:5a:b0:08:78","Kilgo"
"7205-kilgo-j-216-w","00:42:5a:b0:1a:e0","Kilgo"
"7205-kilgo-j-301-w","00:42:5a:b0:3a:90","Kilgo"
"7205-kilgo-j-302-w","00:42:5a:b0:18:f0","Kilgo"
"7205-kilgo-j-303-w","00:42:5a:b0:5f:e0","Kilgo"
"7205-kilgo-j-304-w","00:42:5a:b0:5a:28","Kilgo"
"7205-kilgo-j-305-w","00:42:5a:b0:5d:98","Kilgo"
"7205-kilgo-j-306-w","00:42:5a:b0:5a:80","Kilgo"
"7205-kilgo-j-307-w","00:42:5a:b0:15:70","Kilgo"
"7205-kilgo-j-308-w","00:42:5a:b0:5b:40","Kilgo"
"7205-kilgo-j-309-w","00:42:5a:b0:5c:48","Kilgo"
"7205-kilgo-j-401-w","00:42:5a:b0:14:c8","Kilgo"
"7205-kilgo-j-402-w","00:42:5a:b0:5c:20","Kilgo"
"7205-kilgo-j-403-w","00:42:5a:b0:56:68","Kilgo"
"7205-kilgo-j-501-w","00:42:5a:ae:45:70","Kilgo"
"7205-kilgo-j-502-w","00:42:5a:b0:13:68","Kilgo"
"7205-kilgo-j-503-w","00:42:5a:b0:5a:e0","Kilgo"
"7205-kilgo-k-101cm-c","2c:5a:0f:ed:19:14","Kilgo"
"7205-kilgo-k-101-w","00:42:5a:b0:1b:e0","Kilgo"
"7205-kilgo-k-102-w","00:42:5a:b0:28:98","Kilgo"
"7205-kilgo-k-103-w","00:42:5a:b0:5b:00","Kilgo"
"7205-kilgo-k-104-w","00:42:5a:b0:40:18","Kilgo"
"7205-kilgo-k-201-w","00:42:5a:b0:05:c0","Kilgo"
"7205-kilgo-k-202-w","00:42:5a:b0:3f:10","Kilgo"
"7205-kilgo-k-203-w","00:42:5a:b0:27:b8","Kilgo"
"7205-kilgo-k-204-w","00:42:5a:b0:1a:70","Kilgo"
"7205-kilgo-k-205-w","00:42:5a:b0:1a:00","Kilgo"
"7205-kilgo-k-206-w","00:42:5a:b0:40:38","Kilgo"
"7205-kilgo-k-207-w","00:42:5a:b0:39:38","Kilgo"
"7205-kilgo-k-208-w","00:42:5a:b0:4b:90","Kilgo"
"7205-kilgo-k-301-w","00:42:5a:b0:3f:38","Kilgo"
"7205-kilgo-k-302-w","00:42:5a:b0:14:30","Kilgo"
"7205-kilgo-k-303-w","00:42:5a:b0:14:d0","Kilgo"
"7205-kilgo-k-304-w","00:42:5a:b0:1f:68","Kilgo"
"7205-kilgo-k-305-w","00:42:5a:b0:06:50","Kilgo"
"7205-kilgo-k-306-w","00:42:5a:b0:28:a8","Kilgo"
"7205-kilgo-k-307-w","00:42:5a:b0:3f:20","Kilgo"
"7205-kilgo-l-001-w-a1","00:42:5a:b0:64:f8","Kilgo"
"7205-kilgo-l-001-w-a3","00:42:5a:ae:61:c8","Kilgo"
"7205-kilgo-l-002-w","00:42:5a:b0:3f:08","Kilgo"
"7205-kilgo-l-003-w","00:42:5a:b0:3f:18","Kilgo"
"7205-kilgo-l-101-w","00:42:5a:b0:16:70","Kilgo"
"7205-kilgo-l-102-w","00:42:5a:b0:53:68","Kilgo"
"7205-kilgo-l-103-w","00:42:5a:b0:13:e0","Kilgo"
"7205-kilgo-l-104-w","00:42:5a:b0:09:f0","Kilgo"
"7205-kilgo-l-105-w","00:42:5a:b0:16:18","Kilgo"
"7205-kilgo-l-106-w","00:42:5a:b0:2a:38","Kilgo"
"7205-kilgo-l-107-w","00:42:5a:b0:14:18","Kilgo"
"7205-kilgo-l-108-w","00:42:5a:b0:19:a0","Kilgo"
"7205-kilgo-l-109-w","00:42:5a:b0:18:00","Kilgo"
"7205-kilgo-l-110-w","00:42:5a:b0:23:f0","Kilgo"
"7205-kilgo-l-201-w","00:42:5a:b0:18:e0","Kilgo"
"7205-kilgo-l-202-w","00:42:5a:b0:3f:70","Kilgo"
"7205-kilgo-l-203-w","00:42:5a:b0:07:e8","Kilgo"
"7205-kilgo-l-204-w","00:42:5a:b0:3f:98","Kilgo"
"7205-kilgo-l-205-w","00:42:5a:b0:28:f8","Kilgo"
"7205-kilgo-l-206-w","00:42:5a:b0:40:28","Kilgo"
"7205-kilgo-l-207-w","00:42:5a:ae:66:10","Kilgo"
"7205-kilgo-l-208-w","00:42:5a:b0:0d:e8","Kilgo"
"7205-kilgo-l-209-w","00:42:5a:b0:3b:88","Kilgo"
"7205-kilgo-l-210-w","00:42:5a:b0:28:08","Kilgo"
"7205-kilgo-l-210-w-NOT","00:42:5a:b0:39:18","Kilgo"
"7205-kilgo-l-301-w","00:42:5a:b0:39:50","Kilgo"
"7205-kilgo-l-302-w","00:42:5a:b0:4e:f0","Kilgo"
"7205-kilgo-l-303-w","00:42:5a:b0:2d:30","Kilgo"
"7205-kilgo-l-304-w","00:42:5a:b0:59:f0","Kilgo"
"7205-kilgo-l-305-w","00:42:5a:b0:34:38","Kilgo"
"7205-kilgo-l-306-w","00:42:5a:b0:3f:88","Kilgo"
"7205-kilgo-l-307-w","00:42:5a:b0:40:78","Kilgo"
"7205-kilgo-l-308-w","00:42:5a:b0:3c:60","Kilgo"
"7205-kilgo-l-401-w","00:42:5a:b0:3e:88","Kilgo"
"7205-kilgo-m-001-w","00:42:5a:b0:5e:10","Kilgo"
"7205-kilgo-m-002-w","00:42:5a:b0:2a:90","Kilgo"
"7205-kilgo-m-003-w","00:42:5a:b0:3f:00","Kilgo"
"7205-kilgo-m-005-w","00:42:5a:b0:18:f8","Kilgo"
"7205-kilgo-m-101-w","00:42:5a:b0:5b:58","Kilgo"
"7205-kilgo-m-102-w","00:42:5a:b0:04:d8","Kilgo"
"7205-kilgo-m-103-w","00:42:5a:b0:59:08","Kilgo"
"7205-kilgo-m-104-w","00:42:5a:b0:5d:90","Kilgo"
"7205-kilgo-m-105-w","00:42:5a:b0:53:78","Kilgo"
"7205-kilgo-m-106-w","00:42:5a:b0:17:08","Kilgo"
"7205-kilgo-m-107-w","00:42:5a:b0:4b:d0","Kilgo"
"7205-kilgo-m-201-w","00:42:5a:b0:5f:d8","Kilgo"
"7205-kilgo-m-202-w","00:42:5a:b0:10:00","Kilgo"
"7205-kilgo-m-203-w","00:42:5a:b0:09:78","Kilgo"
"7205-kilgo-m-204-w","00:42:5a:b0:0f:a8","Kilgo"
"7205-kilgo-m-205-w","00:42:5a:b0:0f:c0","Kilgo"
"7205-kilgo-m-206-w","00:42:5a:b0:0a:68","Kilgo"
"7205-kilgo-m-207-w","00:42:5a:b0:0a:88","Kilgo"
"7205-kilgo-m-301-w","00:42:5a:b0:09:c8","Kilgo"
"7205-kilgo-m-302-w","00:42:5a:b0:0d:80","Kilgo"
"7205-kilgo-m-303-w","00:42:5a:b0:0e:d8","Kilgo"
"7205-kilgo-m-304-w","00:42:5a:b0:16:40","Kilgo"
"7205-kilgo-m-305-w","00:42:5a:b0:10:90","Kilgo"
"7205-kilgo-m-306-w","00:42:5a:b0:13:58","Kilgo"
"7205-kilgo-m-401-w","00:42:5a:b0:09:48","Kilgo"
"7205-kilgo-m-402-w","00:42:5a:b0:0d:28","Kilgo"
"7205-kilgo-n-001cm-c","2c:5a:0f:a6:93:5e","Kilgo"
"7205-kilgo-n-001-sem-c","00:42:68:95:be:e8","Kilgo"
"7205-kilgo-n-002cm-c","f8:0b:cb:e4:64:34","Kilgo"
"7205-kilgo-n-101-w","00:42:5a:b0:1f:d0","Kilgo"
"7205-kilgo-n-102-w","00:42:5a:b0:58:68","Kilgo"
"7205-kilgo-n-103-w","00:42:5a:b0:09:40","Kilgo"
"7205-kilgo-n-104-w","00:42:5a:b0:58:90","Kilgo"
"7205-kilgo-n-105-w","00:42:5a:b0:3e:a0","Kilgo"
"7205-kilgo-n-106-w","00:42:5a:b0:3b:60","Kilgo"
"7205-kilgo-n-107-w","00:42:5a:b0:60:d8","Kilgo"
"7205-kilgo-n-108-w","00:42:5a:b0:4d:80","Kilgo"
"7205-kilgo-n-201-w","00:42:5a:b0:5b:68","Kilgo"
"7205-kilgo-n-202-w","00:42:5a:b0:33:18","Kilgo"
"7205-kilgo-n-203-w","00:42:5a:b0:00:d0","Kilgo"
