"APname","APnum","png","X","Y"
"7781-wwt-24-field-w","70:db:98:66:5b:b4",1,2082,502
"7781-wwt-27o-field-w","70:db:98:66:5d:e0",1,1638,542
"7781-wwt-bowl-01e-t","70:db:98:e1:29:84",1,998,2345
"7781-wwt-bowl-01o-t","70:db:98:e1:37:16",1,884,2318
"7781-wwt-bowl-02e-t","70:db:98:e1:38:f0",1,1202,2381
"7781-wwt-bowl-02o-t","70:db:98:66:5e:d8",1,1080,2357
"7781-wwt-bowl-03e-t","2c:5a:0f:70:d2:20",1,1413,2395
"7781-wwt-bowl-03o-t","2c:5a:0f:70:d2:c4",1,1297,2391
"7781-wwt-bowl-04e-b","2c:5a:0f:70:d1:fa",1,1605,1889
"7781-wwt-bowl-04e-t","70:db:98:e1:37:68",1,1620,2401
"7781-wwt-bowl-05e-t","70:db:98:e1:38:ec",1,1847,2370
"7781-wwt-bowl-05o-t","70:db:98:e1:38:d8",1,1700,2379
"7781-wwt-bowl-06e-t","70:db:98:66:4d:f0",1,2037,2331
"7781-wwt-bowl-06o-t","70:db:98:66:5c:04",1,1903,2359
"7781-wwt-bowl-07e-t","2c:5a:0f:70:d2:22",1,2246,2282
"7781-wwt-bowl-07o-t","70:db:98:66:55:02",1,2099,2318
"7781-wwt-bowl-08e-t","f8:0b:cb:fc:44:78",1,2428,2218
"7781-wwt-bowl-08o-t","70:db:98:66:4e:16",1,2282,2266
"7781-wwt-bowl-09e-t","70:db:98:66:60:0c",1,2619,2121
"7781-wwt-bowl-09o-t","70:db:98:66:5b:ce",1,2479,2192
"7781-wwt-bowl-10e-t","2c:5a:0f:70:bb:12",1,2796,2017
"7781-wwt-bowl-10o-t","70:db:98:66:5b:f4",1,2667,2102
"7781-wwt-bowl-11e-t","70:db:98:e1:39:04",1,2986,1891
"7781-wwt-bowl-11o-t","2c:5a:0f:60:3b:78",1,2841,1986
"7781-wwt-bowl-12e-t","70:db:98:66:5b:f8",1,3164,1683
"7781-wwt-bowl-12o-t","70:db:98:e1:37:20",1,3014,1840
"7781-wwt-bowl-13e-t","70:db:98:e1:39:0e",1,3289,1460
"7781-wwt-bowl-13o-t","70:db:98:e1:29:90",1,3185,1643
