ap,rawX,rawY,X,Y,floor
7704-perkins-011-c-06,756,489,280.4511278,-225.5725191,0
7704-perkins-013-c-05-3802i,617,531,228.1954887,-241.6030534,0
7704-perkins-017-c-03-3802i,579,596,213.9097744,-266.4122137,0
7704-perkins-017-c-04-3802i,563,493,207.8947368,-227.0992366,0
7704-perkins-021a-c-01-3802i,510,661,187.9699248,-291.221374,0
7704-perkins-023-c-02-3802i,495,607,182.3308271,-270.610687,0
7704-perkins-052-c-12-3802i,649,367,240.2255639,-179.0076336,0
7704-perkins-054-c-13-3802i,755,367,280.075188,-179.0076336,0
7704-perkins-055cor-c-09-3802i,531,395,195.8646617,-189.6946565,0
7704-perkins-058-c-16-3802i,646,309,239.0977444,-156.870229,0
7704-perkins-059-c-07-3802i,875,504,325.1879699,-231.2977099,0
7704-perkins-060-c-08-3802i,938,514,348.8721805,-235.1145038,0
7704-perkins-061-c-11-3802i,1051,493,391.3533835,-227.0992366,0
7704-perkins-067-c-10-3802i,894,447,332.3308271,-209.5419847,0
7704-perkins-067-c-14-3802i,865,330,321.4285714,-164.8854962,0
7704-perkins-067-c-15-3802i,967,388,359.7744361,-187.0229008,0
7704-perkins-067-c-21-3802i,810,225,300.7518797,-124.8091603,0
7704-perkins-070-c-22-3802i,875,214,325.1879699,-120.610687,0
7704-perkins-071-c-23-3802i,940,173,349.6240602,-104.9618321,0
7704-perkins-072-c-27-3802i,930,93,345.8646617,-74.42748092,0
7704-perkins-073-c-26,800,103,296.9924812,-78.24427481,0
7704-perkins-074-c-28-3802i,804,47,298.4962406,-56.87022901,0
7704-perkins-076-c-25-3802i,651,87,240.9774436,-72.13740458,0
7704-perkins-079-c-24-3802i,521,120,192.1052632,-84.73282443,0
7704-perkins-081-c-19-3802i,613,187,226.6917293,-110.3053435,0
7704-perkins-085-c-20-3802i,747,193,277.0676692,-112.5954198,0
7704-perkins-086-c-18-3802i,550,221,203.0075188,-123.2824427,0
7704-perkins-087-c-17-3802i,745,292,276.3157895,-150.3816794,0
7704-per-rub-080-1-h,133,481,46.2406015,-222.519084,0
7704-per-rub-080-2-h-c,135,621,46.9924812,-275.9541985,0
7704-per-rub-080-3-h-c,135,701,46.9924812,-306.4885496,0
7704-per-rub-093-3-h-c,229,393,82.33082707,-188.9312977,0
7704-per-rub-093-4-h-c,294,393,106.7669173,-188.9312977,0
7704-per-rub-093-5-h-c,351,391,128.1954887,-188.1679389,0
7704-per-rub-093d-h-c,160,401,56.39097744,-191.9847328,0
7704-per-rub-094-1-c,74,401,24.06015038,-191.9847328,0
7704-per-rub-094-2-c,76,359,24.81203008,-175.9541985,0
7704-per-rub-095-c,336,783,122.556391,-337.7862595,0
7704-per-rub-099-1-c,250,500,90.22556391,-229.7709924,0
7704-per-rub-099-2-c,336,500,122.556391,-229.7709924,0
7704-per-rub-099-3-c,252,560,90.97744361,-252.6717557,0
7704-per-rub-099-4-c,340,560,124.0601504,-252.6717557,0
7704-per-rub-099-5-c,250,619,90.22556391,-275.1908397,0
7704-per-rub-099-6-c,340,590,124.0601504,-264.1221374,0
7704-perkins-100-c-v09-3802i,573,748,223.1060606,-307.1428571,1
7704-perkins-100-v20-3802i,566,602,220.4545455,-252.2556391,1
7704-perkins-101glas-c-v21-3802i,669,586,259.469697,-246.2406015,1
7704-perkins-101glas-c-v22-3802i,748,637,289.3939394,-265.4135338,1
7704-perkins-101glas-c-v23-3802i,843,588,325.3787879,-246.9924812,1
7704-perkins-101-v01-3802i,926,389,356.8181818,-172.1804511,1
7704-perkins-101-v02-3802i,779,380,301.1363636,-168.7969925,1
7704-perkins-101-v03-3802i,644,380,250,-168.7969925,1
7704-perkins-101-v10-3802i,579,322,225.3787879,-146.9924812,1
7704-perkins-101-v11-3802i,704,325,272.7272727,-148.1203008,1
7704-perkins-101-v12-3802i,855,327,329.9242424,-148.8721805,1
7704-perkins-101-v14-3802i,642,223,249.2424242,-109.7744361,1
7704-perkins-101-v15-3802i,762,220,294.6969697,-108.6466165,1
7704-perkins-101-v16-3802i,927,234,357.1969697,-113.9097744,1
7704-perkins-101-v17-3802i,586,107,228.030303,-66.16541353,1
7704-perkins-101-v18-3802i,721,114,279.1666667,-68.79699248,1
7704-perkins-101-v19-3802i,855,116,329.9242424,-69.54887218,1
7704-perkins-102-c-v06-3802i,598,487,232.5757576,-209.0225564,1
7704-perkins-102-v07-3802i,669,401,259.469697,-176.6917293,1
7704-perkins-102-v08-3802i,841,492,324.6212121,-210.9022556,1
7704-perkins-105-v05-3802i,498,468,194.6969697,-201.8796992,1
7704-perkins-106-v04-3802i,433,382,170.0757576,-169.5488722,1
7704-perkins-109-c-v13-3802i,510,239,199.2424242,-115.7894737,1
7704-per-rub-140a-c,522,635,203.7878788,-264.6616541,1
7704-per-rub-140b-c,445,549,174.6212121,-232.3308271,1
7704-per-rub-149-1-h,230,695,93.18181818,-287.2180451,1
7704-per-rub-149-2-h,158,698,65.90909091,-288.3458647,1
7704-per-rub-150-c,195,764,79.92424242,-313.1578947,1
7704-per-rub-151-c,239,774,96.59090909,-316.9172932,1
