rawX,rawY,X,Y,floor
428,30,157.1428571,-50.38167939,0
1074,32,400,-51.14503817,0
1076,277,400.7518797,-144.6564885,0
1164,277,433.8345865,-144.6564885,0
1162,458,433.0827068,-213.740458,0
1078,464,401.5037594,-216.0305344,0
1072,529,399.2481203,-240.8396947,0
993,521,369.5488722,-237.7862595,0
992,550,369.1729323,-248.8549618,0
638,550,236.0902256,-248.8549618,0
636,699,235.3383459,-305.7251908,0
571,701,210.9022556,-306.4885496,0
567,787,209.3984962,-339.3129771,0
485,789,178.5714286,-340.0763359,0
481,825,177.0676692,-353.8167939,0
72,829,23.30827068,-355.3435115,0
74,426,24.06015038,-201.5267176,0
13,428,1.127819549,-202.2900763,0
13,340,1.127819549,-168.7022901,0
498,342,183.4586466,-169.4656489,0
500,177,184.2105263,-106.4885496,0
430,177,157.8947368,-106.4885496,0
428,30,157.1428571,-50.38167939,0
475,123,185.9848485,-72.18045113,1
544,125,212.1212121,-72.93233083,1
547,54,213.2575758,-46.2406015,1
889,52,342.8030303,-45.4887218,1
894,119,344.6969697,-70.67669173,1
957,125,368.5606061,-72.93233083,1
964,265,371.2121212,-125.5639098,1
1038,267,399.2424242,-126.3157895,1
1047,505,402.6515152,-215.7894737,1
901,498,347.3484848,-213.1578947,1
894,542,344.6969697,-229.6992481,1
864,547,333.3333333,-231.5789474,1
866,660,334.0909091,-274.0601504,1
621,670,241.2878788,-277.8195489,1
617,838,239.7727273,-340.9774436,1
545,838,212.5,-340.9774436,1
542,797,211.3636364,-325.5639098,1
58,799,28.03030303,-326.3157895,1
58,401,28.03030303,-176.6917293,1
12,399,10.60606061,-175.9398496,1
12,331,10.60606061,-150.3759398,1
473,327,185.2272727,-148.8721805,1
475,123,185.9848485,-72.18045113,1
1,598,175.7869249,-174.8792271,2
43,599,185.9564165,-175.1207729,2
38,171,184.7457627,-71.73913043,2
156,170,213.3171913,-71.49758454,2
155,57,213.0750605,-44.20289855,2
694,55,343.5835351,-43.71980676,2
701,166,345.2784504,-70.53140097,2
807,170,370.9443099,-71.49758454,2
812,392,372.1549637,-125.1207729,2
926,392,399.7578692,-125.1207729,2
936,493,402.1791768,-149.5169082,2
1026,495,423.9709443,-150,2
1028,598,424.4552058,-174.8792271,2
928,603,400.2421308,-176.0869565,2
928,751,400.2421308,-211.8357488,2
697,749,344.3099274,-211.352657,2
697,749,344.3099274,-211.352657,2
696,827,344.0677966,-230.1932367,2
153,834,212.590799,-231.884058,2
156,714,213.3171913,-202.8985507,2
5,711,176.7554479,-202.173913,2
1,598,175.7869249,-174.8792271,2
1,587,174.4578313,-175.3026634,3
48,588,185.7831325,-175.5447942,3
50,160,186.2650602,-71.91283293,3
160,160,212.7710843,-71.91283293,3
160,48,212.7710843,-44.79418886,3
700,43,342.8915663,-43.58353511,3
704,160,343.8554217,-71.91283293,3
819,159,371.5662651,-71.67070218,3
819,489,371.5662651,-151.5738499,3
987,491,412.0481928,-152.0581114,3
990,578,412.7710843,-173.1234867,3
931,580,398.5542169,-173.6077482,3
933,738,399.0361446,-211.8644068,3
709,743,345.060241,-213.0750605,3
705,817,344.0963855,-230.9927361,3
164,816,213.7349398,-230.7506053,3
160,702,212.7710843,-203.1476998,3
1,699,174.4578313,-202.4213075,3
1,587,174.4578313,-175.3026634,3
